NewsID,Date,Symbol,Headline,Source,SentimentLabel
1,2023-01-02,AAPL,AAPL board approves routine dividend payment,Reuters,Neutral
2,2023-01-02,AMZN,AMZN shares slide on supply chain concerns,Bloomberg,Negative
3,2023-01-02,JNJ,JNJ announces new product launch to strong demand,Reuters,Positive
4,2023-01-03,CVX,Analysts downgrade CVX citing weak outlook,MarketWatch,Negative
5,2023-01-04,JPM,JPM completes previously announced share buyback,Financial Times,Neutral
6,2023-01-05,JNJ,JNJ reports record profit margins this quarter,Reuters,Positive
7,2023-01-06,AAPL,AAPL announces new product launch to strong demand,Reuters,Positive
8,2023-01-06,AMZN,AMZN shares slide on supply chain concerns,CNBC,Negative
9,2023-01-06,JNJ,JNJ beats quarterly earnings expectations,MarketWatch,Positive
10,2023-01-09,AAPL,AAPL announces new product launch to strong demand,Reuters,Positive
11,2023-01-09,PFE,Analysts upgrade PFE on strong revenue growth,Bloomberg,Positive
12,2023-01-10,CVX,CVX shares rally after positive guidance,Financial Times,Positive
13,2023-01-11,AAPL,Analysts upgrade AAPL on strong revenue growth,Reuters,Positive
14,2023-01-11,BAC,BAC schedules quarterly earnings call,MarketWatch,Neutral
15,2023-01-12,AAPL,AAPL board approves routine dividend payment,MarketWatch,Neutral
16,2023-01-12,JNJ,Market watchers await JNJ earnings report,CNBC,Neutral
17,2023-01-17,GOOGL,GOOGL shares rally after positive guidance,Reuters,Positive
18,2023-01-18,AMZN,AMZN schedules quarterly earnings call,Bloomberg,Neutral
19,2023-01-19,JPM,JPM reports record profit margins this quarter,CNBC,Positive
20,2023-01-19,XOM,XOM announces layoffs amid cost-cutting drive,CNBC,Negative
21,2023-01-23,JPM,JPM faces regulatory scrutiny over practices,MarketWatch,Negative
22,2023-01-24,MSFT,MSFT board approves routine dividend payment,Reuters,Neutral
23,2023-01-24,GOOGL,GOOGL announces new product launch to strong demand,Financial Times,Positive
24,2023-01-24,JPM,JPM schedules quarterly earnings call,MarketWatch,Neutral
25,2023-01-24,BAC,BAC faces regulatory scrutiny over practices,Reuters,Negative
26,2023-01-25,GOOGL,GOOGL beats quarterly earnings expectations,Financial Times,Positive
27,2023-01-25,JPM,JPM reports record profit margins this quarter,MarketWatch,Positive
28,2023-01-25,BAC,"BAC misses earnings estimates, shares fall",Reuters,Negative
29,2023-01-25,CVX,CVX completes previously announced share buyback,Reuters,Neutral
30,2023-01-26,JPM,JPM faces regulatory scrutiny over practices,CNBC,Negative
31,2023-01-26,JNJ,"JNJ misses earnings estimates, shares fall",Financial Times,Negative
32,2023-01-27,BAC,BAC beats quarterly earnings expectations,Reuters,Positive
33,2023-01-30,MSFT,MSFT announces new product launch to strong demand,MarketWatch,Positive
34,2023-01-30,GOOGL,GOOGL completes previously announced share buyback,Financial Times,Neutral
35,2023-01-30,XOM,XOM announces layoffs amid cost-cutting drive,CNBC,Negative
36,2023-01-31,XOM,Market watchers await XOM earnings report,Financial Times,Neutral
37,2023-01-31,CVX,CVX shares slide on supply chain concerns,CNBC,Negative
38,2023-02-01,AAPL,Analysts downgrade AAPL citing weak outlook,Reuters,Negative
39,2023-02-02,AAPL,AAPL announces layoffs amid cost-cutting drive,MarketWatch,Negative
40,2023-02-02,CVX,CVX announces new product launch to strong demand,CNBC,Positive
41,2023-02-02,JNJ,JNJ schedules quarterly earnings call,Bloomberg,Neutral
42,2023-02-03,XOM,XOM beats quarterly earnings expectations,Financial Times,Positive
43,2023-02-06,MSFT,MSFT to present at industry conference next week,Financial Times,Neutral
44,2023-02-06,XOM,XOM board approves routine dividend payment,CNBC,Neutral
45,2023-02-07,PFE,Analysts upgrade PFE on strong revenue growth,Bloomberg,Positive
46,2023-02-08,MSFT,Analysts upgrade MSFT on strong revenue growth,Financial Times,Positive
47,2023-02-08,AMZN,AMZN schedules quarterly earnings call,Bloomberg,Neutral
48,2023-02-09,AAPL,AAPL announces new product launch to strong demand,Bloomberg,Positive
49,2023-02-10,BAC,BAC shares rally after positive guidance,CNBC,Positive
50,2023-02-14,AMZN,Market watchers await AMZN earnings report,MarketWatch,Neutral
51,2023-02-14,PFE,Market watchers await PFE earnings report,MarketWatch,Neutral
52,2023-02-15,CVX,CVX shares slide on supply chain concerns,MarketWatch,Negative
53,2023-02-16,GOOGL,GOOGL faces regulatory scrutiny over practices,Financial Times,Negative
54,2023-02-16,JPM,JPM announces layoffs amid cost-cutting drive,Reuters,Negative
55,2023-02-16,BAC,BAC shares rally after positive guidance,Bloomberg,Positive
56,2023-02-16,CVX,CVX shares rally after positive guidance,CNBC,Positive
57,2023-02-17,AAPL,Analysts upgrade AAPL on strong revenue growth,CNBC,Positive
58,2023-02-21,MSFT,MSFT announces new product launch to strong demand,Financial Times,Positive
59,2023-02-21,BAC,Market watchers await BAC earnings report,CNBC,Neutral
60,2023-02-22,PFE,Analysts upgrade PFE on strong revenue growth,Bloomberg,Positive
61,2023-02-23,XOM,XOM board approves routine dividend payment,Reuters,Neutral
62,2023-02-28,AAPL,AAPL announces layoffs amid cost-cutting drive,MarketWatch,Negative
63,2023-03-01,JPM,JPM completes previously announced share buyback,MarketWatch,Neutral
64,2023-03-01,CVX,Market watchers await CVX earnings report,CNBC,Neutral
65,2023-03-03,XOM,XOM to present at industry conference next week,MarketWatch,Neutral
66,2023-03-03,PFE,PFE shares rally after positive guidance,Bloomberg,Positive
67,2023-03-06,MSFT,MSFT reports record profit margins this quarter,Bloomberg,Positive
68,2023-03-07,XOM,XOM announces new product launch to strong demand,Reuters,Positive
69,2023-03-07,CVX,CVX announces new product launch to strong demand,Bloomberg,Positive
70,2023-03-09,AMZN,AMZN shares slide on supply chain concerns,Reuters,Negative
71,2023-03-14,JPM,JPM announces new product launch to strong demand,Financial Times,Positive
72,2023-03-16,JPM,JPM schedules quarterly earnings call,Financial Times,Neutral
73,2023-03-20,CVX,CVX completes previously announced share buyback,MarketWatch,Neutral
74,2023-03-21,BAC,BAC faces regulatory scrutiny over practices,Bloomberg,Negative
75,2023-03-22,XOM,Analysts downgrade XOM citing weak outlook,MarketWatch,Negative
76,2023-03-23,XOM,XOM beats quarterly earnings expectations,Bloomberg,Positive
77,2023-03-28,MSFT,MSFT shares rally after positive guidance,MarketWatch,Positive
78,2023-03-28,GOOGL,GOOGL shares slide on supply chain concerns,Reuters,Negative
79,2023-03-29,CVX,CVX to present at industry conference next week,Financial Times,Neutral
80,2023-03-31,BAC,BAC completes previously announced share buyback,Reuters,Neutral
81,2023-03-31,JNJ,JNJ board approves routine dividend payment,CNBC,Neutral
82,2023-04-03,XOM,Market watchers await XOM earnings report,Financial Times,Neutral
83,2023-04-03,JNJ,Analysts downgrade JNJ citing weak outlook,CNBC,Negative
84,2023-04-04,BAC,Market watchers await BAC earnings report,Bloomberg,Neutral
85,2023-04-05,GOOGL,GOOGL shares slide on supply chain concerns,Reuters,Negative
86,2023-04-05,JNJ,JNJ completes previously announced share buyback,CNBC,Neutral
87,2023-04-10,BAC,BAC beats quarterly earnings expectations,CNBC,Positive
88,2023-04-10,PFE,PFE shares slide on supply chain concerns,MarketWatch,Negative
89,2023-04-11,BAC,BAC shares rally after positive guidance,Bloomberg,Positive
90,2023-04-11,XOM,XOM announces layoffs amid cost-cutting drive,MarketWatch,Negative
91,2023-04-11,CVX,"CVX misses earnings estimates, shares fall",Financial Times,Negative
92,2023-04-13,MSFT,MSFT completes previously announced share buyback,Bloomberg,Neutral
93,2023-04-14,AMZN,AMZN faces regulatory scrutiny over practices,Reuters,Negative
94,2023-04-14,BAC,BAC announces layoffs amid cost-cutting drive,CNBC,Negative
95,2023-04-17,CVX,CVX schedules quarterly earnings call,CNBC,Neutral
96,2023-04-17,JNJ,Analysts downgrade JNJ citing weak outlook,Financial Times,Negative
97,2023-04-18,JPM,JPM board approves routine dividend payment,MarketWatch,Neutral
