TransactionID,Date,Symbol,TraderID,BuySell,Quantity,Price,Exchange
1,2023-01-02,AAPL,T4735,SELL,1432,179.5,NYSE
2,2023-01-02,CVX,T1705,SELL,46,146.68,NYSE
3,2023-01-02,JPM,T3596,BUY,432,165.42,NASDAQ
4,2023-01-02,JNJ,T7369,BUY,1806,170.61,NYSE
5,2023-01-02,AMZN,T9573,BUY,1413,155.99,NASDAQ
6,2023-01-02,JPM,T4724,BUY,1802,157.02,NYSE
7,2023-01-02,JNJ,T7967,BUY,328,149.48,NASDAQ
8,2023-01-02,AMZN,T6232,BUY,1499,152.86,NYSE
9,2023-01-02,XOM,T4856,BUY,295,106.6,NASDAQ
10,2023-01-02,JPM,T1571,SELL,402,145.33,NYSE
11,2023-01-02,XOM,T5561,SELL,242,104.81,NYSE
12,2023-01-02,MSFT,T9900,BUY,1025,373.81,NYSE
13,2023-01-02,PFE,T6569,SELL,811,28.45,NYSE
14,2023-01-02,PFE,T7304,BUY,357,27.1,NYSE
15,2023-01-02,JNJ,T8436,BUY,204,150.16,NASDAQ
16,2023-01-02,XOM,T1725,SELL,693,108.69,NYSE
17,2023-01-02,PFE,T7880,SELL,1071,27.95,NASDAQ
18,2023-01-02,MSFT,T4812,BUY,498,330.66,NYSE
19,2023-01-02,JNJ,T4984,BUY,391,161.2,NYSE
20,2023-01-02,JPM,T3651,SELL,591,152.89,NASDAQ
21,2023-01-02,GOOGL,T8615,BUY,128,128.67,NYSE
22,2023-01-02,MSFT,T3147,SELL,231,325.99,NYSE
23,2023-01-02,XOM,T1328,SELL,348,105.82,NASDAQ
24,2023-01-03,AAPL,T4388,SELL,508,193.4,NYSE
25,2023-01-03,AAPL,T9271,BUY,97,182.24,NASDAQ
26,2023-01-03,JPM,T8538,SELL,323,154.44,NYSE
27,2023-01-03,AMZN,T5563,SELL,639,143.34,NASDAQ
28,2023-01-03,CVX,T8300,BUY,269,155.06,NYSE
29,2023-01-03,GOOGL,T1354,SELL,153,139.76,NASDAQ
30,2023-01-03,PFE,T8215,BUY,49,28.38,NYSE
31,2023-01-03,CVX,T3919,BUY,925,158.79,NYSE
32,2023-01-03,JPM,T6743,BUY,112,149.13,NASDAQ
33,2023-01-03,BAC,T8887,SELL,319,34.36,NYSE
34,2023-01-03,CVX,T9926,SELL,448,153.24,NASDAQ
35,2023-01-03,MSFT,T8529,BUY,351,339.22,NYSE
36,2023-01-03,AMZN,T9956,SELL,1001,139.12,NYSE
37,2023-01-03,MSFT,T6420,SELL,146,329.52,NASDAQ
38,2023-01-03,AMZN,T4354,SELL,184,153.95,NYSE
39,2023-01-03,BAC,T1277,SELL,250,32.99,NYSE
40,2023-01-03,CVX,T5093,SELL,25,161.03,NASDAQ
41,2023-01-03,MSFT,T7495,BUY,1291,352.1,NYSE
42,2023-01-03,PFE,T3069,BUY,462,29.11,NYSE
43,2023-01-03,BAC,T1829,BUY,82,31.45,NYSE
44,2023-01-03,MSFT,T4575,BUY,340,343.83,NASDAQ
45,2023-01-03,XOM,T7328,SELL,1404,102.37,NYSE
46,2023-01-03,PFE,T2906,SELL,182,30.18,NYSE
47,2023-01-03,JPM,T4595,BUY,339,150.26,NYSE
48,2023-01-03,AAPL,T5930,BUY,826,168.07,NASDAQ
49,2023-01-03,MSFT,T2139,BUY,139,325.55,NASDAQ
50,2023-01-03,GOOGL,T2823,SELL,219,145.77,NASDAQ
51,2023-01-03,CVX,T5494,BUY,856,134.46,NYSE
52,2023-01-03,JPM,T3778,BUY,302,164.69,NASDAQ
53,2023-01-03,JNJ,T5651,BUY,544,166.53,NASDAQ
54,2023-01-03,JNJ,T8410,BUY,213,155.36,NYSE
55,2023-01-03,XOM,T4778,SELL,371,108.62,NASDAQ
56,2023-01-03,AAPL,T1946,SELL,69,186.47,NASDAQ
57,2023-01-03,PFE,T8645,BUY,156,29.0,NYSE
58,2023-01-03,CVX,T1978,BUY,374,146.85,NYSE
59,2023-01-03,JNJ,T3095,BUY,1655,150.4,NYSE
60,2023-01-03,GOOGL,T7463,SELL,284,150.56,NASDAQ
61,2023-01-03,GOOGL,T4683,SELL,4929,135.81,NASDAQ
62,2023-01-03,MSFT,T7254,SELL,713,333.45,NASDAQ
63,2023-01-04,CVX,T2791,BUY,2469,159.82,NASDAQ
64,2023-01-04,PFE,T6266,BUY,157,31.07,NASDAQ
65,2023-01-04,JPM,T2868,SELL,862,167.81,NYSE
66,2023-01-04,CVX,T3546,SELL,13032,159.69,NASDAQ
67,2023-01-04,PFE,T7388,BUY,812,29.15,NASDAQ
68,2023-01-04,XOM,T1134,BUY,818,108.16,NYSE
69,2023-01-04,AAPL,T1216,SELL,197,170.91,NYSE
70,2023-01-04,CVX,T6253,SELL,721,157.21,NYSE
71,2023-01-04,GOOGL,T4264,SELL,625,140.56,NYSE
72,2023-01-04,PFE,T4457,SELL,597,26.79,NASDAQ
73,2023-01-04,GOOGL,T6932,BUY,353,129.75,NYSE
74,2023-01-04,PFE,T2824,SELL,1193,29.05,NYSE
75,2023-01-04,CVX,T3915,BUY,668,154.58,NASDAQ
76,2023-01-04,CVX,T6615,BUY,287,164.42,NASDAQ
77,2023-01-04,AMZN,T9691,BUY,253,147.23,NASDAQ
78,2023-01-04,CVX,T1316,BUY,698,160.32,NASDAQ
79,2023-01-04,GOOGL,T7072,SELL,336,142.05,NASDAQ
80,2023-01-04,PFE,T9573,SELL,595,27.88,NYSE
81,2023-01-04,CVX,T6774,SELL,239,158.1,NASDAQ
82,2023-01-04,CVX,T6881,BUY,2312,150.24,NASDAQ
83,2023-01-04,JPM,T6760,SELL,152,154.37,NASDAQ
84,2023-01-04,JPM,T5208,SELL,5910,161.06,NASDAQ
85,2023-01-04,JPM,T1017,SELL,653,163.55,NASDAQ
86,2023-01-04,JPM,T9890,SELL,565,157.37,NYSE
87,2023-01-04,PFE,T8027,BUY,1409,30.34,NASDAQ
88,2023-01-05,JNJ,T2399,SELL,87,158.47,NYSE
89,2023-01-05,XOM,T7275,SELL,227,92.85,NASDAQ
90,2023-01-05,PFE,T3402,SELL,2326,29.89,NASDAQ
91,2023-01-05,AAPL,T8171,BUY,512,174.56,NYSE
92,2023-01-05,PFE,T8438,BUY,740,27.83,NYSE
93,2023-01-05,AMZN,T1163,BUY,1170,140.2,NASDAQ
94,2023-01-05,MSFT,T2854,SELL,565,339.29,NYSE
95,2023-01-05,JNJ,T1186,SELL,1680,155.57,NYSE
96,2023-01-05,JNJ,T2680,BUY,104,160.63,NYSE
97,2023-01-05,XOM,T9458,SELL,388,92.88,NASDAQ
98,2023-01-05,GOOGL,T6933,BUY,400,150.39,NYSE
99,2023-01-05,XOM,T1940,SELL,459,103.66,NASDAQ
100,2023-01-05,JNJ,T3528,SELL,439,162.53,NYSE
101,2023-01-05,JPM,T8468,SELL,386,158.68,NYSE
102,2023-01-05,XOM,T4568,BUY,256,112.75,NYSE
103,2023-01-05,AMZN,T6193,SELL,487,147.39,NYSE
104,2023-01-05,AAPL,T1149,BUY,1074,164.91,NASDAQ
105,2023-01-05,PFE,T9546,SELL,307,29.61,NASDAQ
106,2023-01-05,JNJ,T6217,BUY,812,159.89,NASDAQ
107,2023-01-05,JPM,T1717,BUY,248,150.89,NASDAQ
108,2023-01-05,CVX,T8296,BUY,453,160.75,NYSE
109,2023-01-05,BAC,T4076,SELL,1036,33.05,NASDAQ
110,2023-01-05,JPM,T5570,SELL,639,142.6,NASDAQ
111,2023-01-05,JNJ,T8215,SELL,254,164.35,NYSE
112,2023-01-05,GOOGL,T3612,SELL,861,144.0,NYSE
